,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Alex Erickson,CAR,0,0,,0,0,2,14,7.0,0,10
1,Ameer Abdullah,CAR,3,39,13.0,0,16,0,0,,0,0
4,Jabrill Peppers,NYG,0,0,,0,0,4,12,3.0,0,6
5,Dante Pettis,NYG,0,0,,0,0,1,0,0.0,0,0
6,Darnay Holmes,NYG,1,23,23.0,0,23,0,0,,0,0
