,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Darius Phillips,CIN,0,0,,0,0,3,20,6.7,0,13
3,Devin Duvernay,BAL,2,45,22.5,0,24,2,37,18.5,0,21
