,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Ryan Winslow,CAR,,,,,7,258,36.9,46
1,Zane Gonzalez,CAR,,,1,1,0,0,,0
4,Graham Gano,NYG,2,2,3,3,0,0,,0
5,Riley Dixon,NYG,,,,,5,229,45.8,51
