,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,DeAndre Carter,WAS,2,53,26.5,0,30,0,0,,0,0
3,Alex Erickson,CAR,0,0,,0,0,1,10,10.0,0,10
4,Ameer Abdullah,CAR,1,21,21.0,0,21,0,0,,0,0
