,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Brandon Aiyuk,SFO,0,0,,0,0,1,1,1.0,0,1
1,Trenton Cannon,SFO,2,26,13.0,0,21,0,0,,0,0
4,Tavon Austin,JAX,0,0,,0,0,1,0,0.0,0,0
5,Jamal Agnew,JAX,2,51,25.5,0,28,0,0,,0,0
