,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Tyler Boyd,CIN,8,6,49,0,3,30,5.0,19,3.2,7.0,0,,0,0.0,0,90.1
1,Ja'Marr Chase,CIN,6,3,32,1,3,24,8.0,8,2.7,20.8,1,3.0,0,0.0,0,105.6
2,Samaje Perine,CIN,3,3,18,0,1,-2,-0.7,20,6.7,-0.7,0,,0,0.0,0,91.7
3,Tee Higgins,CIN,3,2,15,0,1,8,4.0,7,3.5,5.3,0,,0,0.0,0,78.5
4,C.J. Uzomah,CIN,3,2,9,0,1,4,2.0,5,2.5,3.0,0,,0,0.0,0,70.1
5,Chris Evans,CIN,1,1,7,0,,4,4.0,3,3.0,4.0,0,,0,0.0,0,95.8
6,Stanley Morgan Jr.,CIN,1,1,3,0,,-9,-9.0,12,12.0,-9.0,0,,0,0.0,0,79.2
7,Drew Sample,CIN,2,1,3,0,,-5,-5.0,8,8.0,1.0,0,,0,0.0,0,56.2
8,Mike Thomas,CIN,1,1,12,0,1,9,9.0,3,3.0,9.0,0,,0,0.0,0,116.7
10,Darren Waller,LVR,8,7,116,0,4,68,9.7,48,6.9,10.6,1,7.0,0,0.0,1,79.2
11,Josh Jacobs,LVR,7,5,24,0,0,2,0.4,22,4.4,0.7,0,,1,14.3,0,75.9
12,Hunter Renfrow,LVR,4,4,30,0,2,15,3.8,15,3.8,3.8,0,,0,0.0,0,97.9
13,Kenyan Drake,LVR,2,1,6,0,0,3,3.0,3,3.0,-1.0,0,,0,0.0,0,56.2
14,Zay Jones,LVR,2,1,20,0,1,20,20.0,0,0.0,37.0,0,,0,0.0,0,85.4
15,Foster Moreau,LVR,2,1,19,1,1,19,19.0,0,0.0,17.0,0,,0,0.0,0,122.9
