,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Mark Ingram,NOR,16,88,4,26,1.6,62,3.9,1,16.0
1,Tony Jones,NOR,3,2,,-1,-0.3,3,1.0,0,
2,Trevor Siemian,NOR,2,16,1,1,0.5,15,7.5,0,
3,Dwayne Washington,NOR,1,3,,1,1.0,2,2.0,0,
5,Jalen Hurts,PHI,18,69,7,58,3.2,11,0.6,0,
6,Miles Sanders,PHI,16,94,3,70,4.4,24,1.5,0,
7,Jordan Howard,PHI,10,63,4,35,3.5,28,2.8,0,
8,Boston Scott,PHI,6,16,,7,1.2,9,1.5,0,
