,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Robbie Gould,SFO,3,3,3,3,0,0,,0
1,Mitch Wishnowsky,SFO,,,,,2,88,44.0,45
4,Matthew Wright,JAX,1,1,1,1,0,0,,0
5,Logan Cooke,JAX,,,,,4,193,48.3,52
