,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Darius Phillips,CIN,2,57,28.5,0,32,2,10,5.0,0,10
3,Hunter Renfrow,LVR,0,0,,0,0,2,23,11.5,0,12
4,Kenyan Drake,LVR,3,51,17.0,0,24,0,0,,0,0
