,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Mark Ingram,NOR,8,6,25,0,2,-3,-0.5,28,4.7,-0.9,0,,0,0.0,0,77.6
1,Tre'Quan Smith,NOR,8,5,64,0,3,58,11.6,6,1.2,11.5,0,,1,12.5,0,87.5
2,Adam Trautman,NOR,8,5,58,1,4,34,6.8,24,4.8,4.8,0,,0,0.0,1,84.4
3,Deonte Harris,NOR,5,2,11,0,,8,4.0,3,1.5,10.8,0,,0,0.0,1,8.3
4,Marquez Callaway,NOR,4,1,26,1,1,26,26.0,0,0.0,16.0,0,,0,0.0,0,93.7
5,Lil'Jordan Humphrey,NOR,1,1,4,1,1,4,4.0,0,0.0,4.0,0,,0,0.0,0,122.9
6,Nick Vannett,NOR,1,1,20,0,1,17,17.0,3,3.0,17.0,0,,0,0.0,0,118.7
7,Dwayne Washington,NOR,1,1,6,0,,0,0.0,6,6.0,0.0,0,,0,0.0,0,91.7
9,Dallas Goedert,PHI,8,5,62,0,4,24,4.8,38,7.6,7.0,2,2.5,2,25.0,0,86.5
10,DeVonta Smith,PHI,6,4,61,0,2,28,7.0,33,8.3,11.5,0,,0,0.0,0,100.0
11,Boston Scott,PHI,2,2,2,0,,-2,-1.0,4,2.0,-1.0,0,,0,0.0,0,79.2
12,JJ Arcega-Whiteside,PHI,1,1,23,0,1,5,5.0,18,18.0,5.0,0,,0,0.0,0,118.7
13,Jalen Reagor,PHI,3,1,-1,0,,-1,-1.0,0,0.0,6.0,0,,0,0.0,0,42.4
14,Tyree Jackson,PHI,1,0,0,0,,0,,0,,14.0,0,,0,0.0,0,39.6
15,Miles Sanders,PHI,1,0,0,0,0,0,,0,,29.0,0,,0,0.0,0,39.6
16,Quez Watkins,PHI,1,0,0,0,,0,,0,,7.0,0,,0,0.0,0,39.6
