,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,AJ Dillon,GNB,11,53,2,43,3.9,10,0.9,0,
1,Patrick Taylor,GNB,4,11,,7,1.8,4,1.0,0,
2,Aaron Rodgers,GNB,2,21,1,21,10.5,0,0.0,0,
3,Jordan Love,GNB,1,-1,,-1,-1.0,0,0.0,0,
4,Equanimeous St. Brown,GNB,1,11,1,4,4.0,7,7.0,0,
6,Dalvin Cook,MIN,22,86,6,48,2.2,38,1.7,0,
7,Alexander Mattison,MIN,3,5,,3,1.0,2,0.7,0,
8,Kirk Cousins,MIN,2,-4,0,-4,-2.0,0,0.0,0,
9,C.J. Ham,MIN,1,0,,0,0.0,0,0.0,0,
10,Justin Jefferson,MIN,1,3,0,3,3.0,0,0.0,0,
