,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Mac Jones,NWE,22,26,207,7,24.1,162,6.2,104,4.7,4.0,103,4.7,0,0.0%,4,15.4%,3,12,0,1,4,13.3%,1,1.0
2,Matt Ryan,ATL,19,28,153,7,21.9,177,6.3,91,4.8,3.3,62,3.3,0,0.0%,7,25.0%,4,5,0,8,12,37.5%,0,
3,Josh Rosen,ATL,1,3,5,,,20,6.7,5,5.0,1.7,0,0.0,0,0.0%,1,50.0%,0,2,1,0,1,33.3%,0,
4,Feleipe Franks,ATL,0,1,0,,,2,2.0,0,,0.0,0,,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,
