,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Trevor Siemian,NOR,22,40,214,12,30.0,273,6.8,144,6.5,3.6,70,3.2,1,2.8%,5,13.9%,0,7,7,5,12,29.3%,1,17.0
2,Jalen Hurts,PHI,13,24,147,7,25.9,202,8.4,54,4.2,2.3,93,7.2,2,8.7%,4,17.4%,3,4,2,4,9,29.0%,4,3.8
