,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Joe Mixon,CIN,30,123,5,76,2.5,47,1.6,4,7.5
1,Joe Burrow,CIN,3,11,2,7,2.3,4,1.3,1,3.0
2,Ja'Marr Chase,CIN,2,8,1,8,4.0,0,0.0,1,2.0
3,Samaje Perine,CIN,2,3,1,2,1.0,1,0.5,0,
4,Tyler Boyd,CIN,1,14,1,9,9.0,5,5.0,0,
6,Josh Jacobs,LVR,9,37,3,13,1.4,24,2.7,3,3.0
7,Kenyan Drake,LVR,5,23,2,15,3.0,8,1.6,1,5.0
8,Peyton Barber,LVR,1,3,,0,0.0,3,3.0,0,
9,Bryan Edwards,LVR,1,0,,0,0.0,0,0.0,0,
10,DeSean Jackson,LVR,1,4,,4,4.0,0,0.0,0,
11,Hunter Renfrow,LVR,1,5,0,5,5.0,0,0.0,0,
