,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Michael Badgley,IND,5,5,2,2,0,0,,0
1,Rigoberto Sanchez,IND,,,,,1,31,31.0,31
4,Tyler Bass,BUF,1,1,,2,0,0,,0
5,Matt Haack,BUF,,,,,1,55,55.0,55
