,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Joe Burrow,CIN,20,29,148,10,31.3,220,7.6,63,3.2,2.2,85,4.3,0,0.0%,2,7.1%,3,2,4,2,9,25.7%,3,3.7
2,Derek Carr,LVR,19,27,215,8,27.6,232,8.6,127,6.7,4.7,88,4.6,1,4.0%,5,20.0%,2,6,5,3,10,34.5%,0,
