,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Saquon Barkley,NYG,6,25,1,10,1.7,15,2.5,0,
1,Devontae Booker,NYG,3,15,2,9,3.0,6,2.0,0,
2,Daniel Jones,NYG,3,10,0,4,1.3,6,2.0,0,
3,John Ross,NYG,1,16,1,13,13.0,3,3.0,0,
5,Leonard Fournette,TAM,10,35,3,16,1.6,19,1.9,0,
6,Ronald Jones II,TAM,8,33,4,19,2.4,14,1.8,0,
7,Ke'Shawn Vaughn,TAM,3,4,,1,0.3,3,1.0,0,
8,Blaine Gabbert,TAM,2,-2,0,-2,-1.0,0,0.0,0,
9,Tom Brady,TAM,1,10,1,10,10.0,0,0.0,0,
10,Mike Evans,TAM,1,10,1,8,8.0,2,2.0,0,
11,Chris Godwin,TAM,1,7,1,4,4.0,3,3.0,0,
12,Breshad Perriman,TAM,1,-3,0,-3,-3.0,0,0.0,0,
