,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Mark Ingram,HOU,6,24,1,13,2.2,11,1.8,0,
1,David Johnson,HOU,5,21,0,9,1.8,12,2.4,1,5.0
2,Phillip Lindsay,HOU,4,-1,,-3,-0.8,2,0.5,0,
3,Jordan Akins,HOU,1,3,1,0,0.0,3,3.0,0,
4,Rex Burkhead,HOU,1,-1,,-1,-1.0,0,0.0,0,
5,Davis Mills,HOU,1,2,0,2,2.0,0,0.0,0,
7,Zack Moss,BUF,14,61,3,16,1.1,45,3.2,0,
8,Devin Singletary,BUF,14,79,4,29,2.1,50,3.6,1,14.0
9,Josh Allen,BUF,6,41,2,25,4.2,16,2.7,0,
10,Mitchell Trubisky,BUF,4,10,2,10,2.5,0,0.0,0,
11,Reggie Gilliam,BUF,1,1,,0,0.0,1,1.0,0,
12,Emmanuel Sanders,BUF,1,7,1,3,3.0,4,4.0,0,
