,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Ryan Succop,TAM,1,1,4,5,0,0,,0
1,Bradley Pinion,TAM,,,,,4,170,42.5,55
4,Nick Folk,NWE,2,2,1,2,0,0,,0
5,Jake Bailey,NWE,,,,,4,188,47.0,58
