,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Graham Gano,NYG,1,1,2,3,0,0,,0
1,Riley Dixon,NYG,,,,,4,157,39.3,51
4,Aldrick Rosas,NOR,3,3,,1,0,0,,0
5,Blake Gillikin,NOR,,,,,3,132,44.0,55
