,Player,Tm,PassCmp,PassAtt,PassYds,Pass1D,Pass1D%,PassIAY,PassIAY/PA,PassCAY,PassCAY/Cmp,PassCAY/PA,PassYAC,PassYAC/Cmp,PassDropPass,PassDropPass%,PassBadTh,PassBad%,PassSk,PassBlitz,PassHrry,PassHit,PassPrss,PassPrss%,PassScrm,PassYds/Scr
0,Tom Brady,TAM,22,43,269,12,27.3,459,10.7,160,7.3,3.7,109,5.0,5,12.2%,13,31.7%,1,6,3,2,6,13.3%,1,6.0
2,Mac Jones,NWE,31,40,275,15,34.1,206,5.2,138,4.5,3.5,137,4.4,1,2.6%,1,2.6%,4,20,2,7,13,29.5%,0,
3,Jakobi Meyers,NWE,2,2,45,1,50.0,11,5.5,11,5.5,5.5,34,17.0,0,0.0%,0,0.0%,0,0,0,1,1,50.0%,0,
