,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Antonio Gibson,WAS,14,63,5,42,3.0,21,1.5,0,
1,J.D. McKissic,WAS,7,15,1,10,1.4,5,0.7,0,
2,Taylor Heinicke,WAS,5,43,2,43,8.6,0,0.0,0,
3,Jaret Patterson,WAS,2,1,0,0,0.0,1,0.5,0,
5,Mike Davis,ATL,13,14,1,1,0.1,13,1.0,0,
6,Wayne Gallman,ATL,6,29,2,19,3.2,10,1.7,1,6.0
7,Cordarrelle Patterson,ATL,6,34,1,21,3.5,13,2.2,0,
8,Feleipe Franks,ATL,1,3,,1,1.0,2,2.0,0,
9,Matt Ryan,ATL,1,17,1,17,17.0,0,0.0,0,
10,Keith Smith,ATL,1,2,1,1,1.0,1,1.0,0,
