,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Jason Myers,SEA,4,4,,,0,0,,0
1,Michael Dickson,SEA,,,,,8,405,50.6,62
4,Mitch Wishnowsky,SFO,1,2,,1,6,262,43.7,54
