,Player,Tm,KR#,KR_Yds,KR_Y/R,KR_TD,KR_Lng,PR#,PR_Yds,PR_Y/R,PR_TD,PR_Lng
0,Rondale Moore,ARI,1,9,9.0,0,9,0,0,,0,0
3,Tutu Atwell,LAR,0,0,,0,0,2,4,2.0,0,4
