,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Daniel Carlson,LVR,2,2,,1,0,0,,0
1,AJ Cole III,LVR,,,,,5,256,51.2,56
4,Tristan Vizcaino,LAC,4,4,,,1,32,32.0,32
5,Ty Long,LAC,,,,,5,221,44.2,58
