,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,Saquon Barkley,NYG,13,52,3,25,1.9,27,2.1,1,13.0
1,Daniel Jones,NYG,4,27,1,27,6.8,0,0.0,0,
2,Devontae Booker,NYG,1,6,,3,3.0,3,3.0,0,
3,Evan Engram,NYG,1,-3,,-3,-3.0,0,0.0,0,
4,Kadarius Toney,NYG,1,1,0,0,0.0,1,1.0,0,
6,Alvin Kamara,NOR,26,120,4,58,2.2,62,2.4,3,8.7
7,Taysom Hill,NOR,6,28,3,15,2.5,13,2.2,3,2.0
8,Tony Jones,NOR,3,8,1,8,2.7,0,0.0,0,
9,Ty Montgomery,NOR,2,7,0,5,2.5,2,1.0,0,
10,Alex Armah,NOR,1,2,1,1,1.0,1,1.0,0,
11,Dwayne Washington,NOR,1,5,,0,0.0,5,5.0,0,
