,Player,Tm,Re_Tgt,Re_Rec,Re_Yds,Re_TD,Re_1D,Re_YBC,Re_YBC/R,Re_YAC,Re_YAC/R,Re_ADOT,Re_BrkTkl,Rec/Br,Re_Drop,Re_DropPass%,Re_Int,Re_PassRating
0,Kadarius Toney,NYG,9,6,78,0,5,28,4.7,50,8.3,8.0,1,6.0,1,11.1,0,93.7
1,Kenny Golladay,NYG,7,6,116,0,6,67,11.2,49,8.2,13.7,2,3.0,0,0.0,0,118.7
2,Evan Engram,NYG,6,5,27,0,,16,3.2,11,2.2,3.0,0,,1,16.7,0,85.4
3,Saquon Barkley,NYG,6,5,74,1,2,14,2.8,60,12.0,3.5,0,,0,0.0,0,157.6
4,John Ross,NYG,4,3,77,1,3,69,23.0,8,2.7,18.5,0,,0,0.0,0,156.2
5,Kyle Rudolph,NYG,3,2,24,0,1,11,5.5,13,6.5,5.3,0,,0,0.0,0,91.0
6,Devontae Booker,NYG,1,1,6,0,,-5,-5.0,11,11.0,-5.0,0,,0,0.0,0,91.7
8,Deonte Harris,NOR,8,5,52,0,3,-3,-0.6,55,11.0,8.6,0,,0,0.0,1,41.7
9,Ty Montgomery,NOR,3,3,42,0,2,30,10.0,12,4.0,10.0,0,,0,0.0,0,118.7
10,Juwan Johnson,NOR,3,2,20,1,2,20,10.0,0,0.0,6.7,0,,0,0.0,0,125.0
11,Chris Hogan,NOR,2,2,15,0,,3,1.5,12,6.0,1.5,0,,0,0.0,0,97.9
12,Taysom Hill,NOR,2,2,26,0,2,-4,-2.0,30,15.0,-2.0,0,,0,0.0,0,118.7
13,Marquez Callaway,NOR,2,2,74,0,2,64,32.0,10,5.0,32.0,0,,0,0.0,0,118.7
14,Tony Jones,NOR,3,1,-3,0,0,-3,-3.0,0,0.0,-1.0,0,,0,0.0,0,42.4
15,Adam Trautman,NOR,1,1,3,0,1,1,1.0,2,2.0,1.0,0,,0,0.0,0,79.2
16,Dwayne Washington,NOR,1,1,6,0,,2,2.0,4,4.0,2.0,0,,0,0.0,0,91.7
17,Kenny Stills,NOR,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6
