,Player,Tm,R_Att,R_Yds,R_1D,R_YBC,R_YBC/Att,R_YAC,R_YAC/Att,R_BrkTkl,R_Att/Br
0,James Conner,ARI,18,50,6,25,1.4,25,1.4,0,
1,Chase Edmonds,ARI,12,120,6,96,8.0,24,2.0,1,12.0
2,Kyler Murray,ARI,6,39,2,39,6.5,0,0.0,0,
3,Colt McCoy,ARI,2,-2,,-2,-1.0,0,0.0,0,
4,Rondale Moore,ARI,2,9,1,7,3.5,2,1.0,0,
6,Darrell Henderson,LAR,14,89,4,62,4.4,27,1.9,1,14.0
7,Matthew Stafford,LAR,6,21,3,19,3.2,2,0.3,0,
8,Sony Michel,LAR,3,11,1,9,3.0,2,0.7,0,
