,Player,Tm,XPM,XPA,FGM,FGA,Pnt#,Pnt_yds,Pnt_Y/P,Pnt_Lng
0,Dustin Hopkins,WAS,1,3,1,1,0,0,,0
1,Tress Way,WAS,,,,,2,84,42.0,45
4,Younghoe Koo,ATL,3,3,1,1,2,70,35.0,45
5,Cameron Nizialek,ATL,,,,,2,97,48.5,51
